,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
5122,"put thee Into my bosom, to undermine my projects?",spatial,anatomy,destruction,politics,,,
5123,on The virtues of the King blow such corruption.,character_traits__nature,politics,breathing,destruction,,,
5124,"The Battales then, in two half-moons enclosed him, In which he shewed, as if he were the light, And they but earth, who wondring what he was;",military,quantities,astrology,spatial,light,nature,mental_faculty__state__entities
5125,"It is easy to make good suspected still, Where good, and God, are made but cloaks for ill.",mental_faculty__state__entities,religion,clothes,ethics,,,
5127,"thus wiues should doe, In absence of their Lords be husband too.",matrimony,privation,social_status,,,,
5129,"Oh had God made me man, I would haue mounted Aboue the base tribunals of the earth, Vp to the clowdes, for pompeous soueraintie,",religion,men,physical_activities,spatial,politics,nature,
5130,"That's your white pretext, But you will find one drop of blood shed lawless Will be the fountain to a purple sea",colors,deception,quantities,anatomy,violence,judiciary,nature
5134,"what they [train] may incense him to, being apt To have his ear abused, wisdom bids fear.",social_status,fire,anatomy,deception,mental_faculty__state__entities,emotions,
5135,just as many sorts [of wolves] as there be knaves in the cards.,quantities,animals,social_status,games__sports,,,
5137,"[wife's] Whose tongue should be the key to open truth, As God's Ambassador.",matrimony,anatomy,domestic,spatial,language,religion,politics
5138,"made the changed colouredÂ RheneÂ to blush, To bear his bloody burden to the sea.",transformation,colors,geography,facial_expressions,labor,anatomy,nature
5139,your gratuitie and my promises were both but words; and both like words shall vanish into ayre.,character_traits__nature,language,appearance,nature,,,
5140,"in sauing nations State shapes are solderd vp, with base, nay faulty Yet necessary functions;",preservation,politics,appearance,adhesion,character_traits__nature,deception,
5144,raisd the greatest peece Of this proud worke which now he treads vpon.,architecture,labor,violence,,,,
5148,hauing such heauenly Fire before you,religion,fire,,,,,
5151,"But my affection to the warre, Is as heriditary as my blood To eu'ry life of all my ancestry.",affection,military,familial,anatomy,life,,
5153,"there lyeÂ SyphaxÂ bride, a naked man is soone vndrest;",matrimony,clothes,,,,,
5154,"Would I had a rod in my mouth, that I might answer thee profitably.",weapons__armor,anatomy,language,ethics,,,
5155,Cunning discoverer of an unknown beauty As subtle as her plot. ,deception,discovering,mental_faculty__state__entities,appearance,character_traits__nature,,
5157,in a cooler bloud you will repent it [violence].,temperature,anatomy,feelings,violence,,,
5162,"Loues winges so justly heaue The body vp, that as our toes shall trip Ouer the tender and obedient grasse, Scarse any drop of dew is dasht to ground.",emotions,animals,physical_activities,anatomy,spatial,nature,violence
5163,"Here's that which is too weak to be a sinner, honest water, which ne'er left man i' the mire",physical_attributes,religion,character_traits__nature,food,cleaning,,
5165,Faint-hearted coward,consumption,anatomy,character_traits__nature,,,,
5166,"Twas yet some comfort, When misery could beguile the tyrant's rage, And frustrate his proud will.",feelings,suffering,deception,politics,emotions,character_traits__nature,mental_faculty__state__entities
5167,"Fortune, good night: smile once more: turn your wheel!",mystical,greetings,facial_expressions,labor,,,
5172,"O my breast, Thy hope ends here!",anatomy,emotions,destruction,,,,
5177,"when they are ripe, makes so many fallings. viz, Mad wenches because they are not gathered in time, are faine to drop of them selues,",architecture,consumption,mental_faculty__state__entities,women,time,feelings,sexuality
5178,"in their thick breaths, Rank of gross diet, shall be enclouded, And forced to drink their vapour.",labor,social_status,breathing,food,sensations,violence,
5180,"The restless mind that harbors sorrowing thoughts, And is with child of noble enterprise, Doth never cease from honors toilsome task, Till it brings forth Eternal glories brood.",mental_faculty__state__entities,accommodation,emotions,reproduction,labor,time,recognition
5181,the whole house Crackes with his shaken burthen,architecture,destruction,violence,labor,,,
5182,Her wisdom is as pleasing as her beauty.,character_traits__nature,feelings,appearance,,,,
5183,"you day o' the world, Chain mine arm'd neck",time,nature,incarceration,weapons__armor,anatomy,,
5185,"had his apparition, and excitement, to suffer none but his hand in his wreak [revenge]",mystical,mental_faculty__state__entities,suffering,anatomy,violence,,
5189,"Half all Cominius' honours are to Marcius, Though Marcius earned them not,",quantities,recognition,economics,,,,
5192,your death (Thus forcibly despising life) the quench of all lives glories.,death,derision__offense___contempt,life,consumption,recognition,,
5193,"Your wives, your daughters, Your matrons and your maids, could not fill up The cistern of my lust",matrimony,familial,women,social_status,sexuality,food,
5196,the tempest in my mind Doth from my senses take all feeling else Save what beats there. ,nature,mental_faculty__state__entities,sexuality,privation,feelings,violence,
5198,"Impoverishing the heart of our munition,",economics,anatomy,weapons__armor,,,,
5201,"Spred to a world of fire: and th'aged skie, Chere with new sparkes of old humanity.",spatial,astrology,fire,nature,emotions,LIFE'S CYCLE,humanity
5202,"all eyes are but misfortune's pipe, Filled full of woe by me, this feels the stripe.",anatomy,suffering,architecture,quantities,emotions,violence,
5203,"The dust on antique time would lie unswept, And mountainous error be too highly heapt For truth to o'er-peer. ",materials,time,cleaning,nature,mental_faculty__state__entities,spatial,language
5204,"This their second meeting writes the Duke cuckold With new additions, his horns newly revived.",social_relations,language,politics,sexuality,social_status,anatomy,life
5205,"When punishment like lightning should appeare To few mens hurt, but vnto all mens feare.",judiciary,nature,appearance,quantities,injuries,emotions,
5217,"Ile be more chaste thenÂ Lucrece,Â dye vnstaind.",sexuality,historical,death,cleaning,,,
5218,"since his marriage, he stalkes me like a cashierd Captain discontent",matrimony,movement,privation,military,feelings,,
5219,"emptied even the dregs of his worst thoughts of me, even to my teeth;",consumption,food,mental_faculty__state__entities,anatomy,,,
5222,"he that wilfully betrays this soul, That precious jewel wherein God's delights,",mental_faculty__state__entities,social_relations,religion,economics,feelings,,
5224,"Wild fire permited without limit burns, Even to consume them that first kindled it",fire,social_relations,spatial,consumption,,,
5226,"Men must endure Their going hence, even as their coming hither; Ripeness is all:",men,suffering,death,architecture,,,
5227,I have signed your Husbands bill like a Wood cocke as hee is held,language,matrimony,economics,animals,,,
5232,A thousand moral paintings I can show That shall demonstrate these quick blows of Fortune's More pregnantly than words.,quantities,art,appearance,violence,mystical,reproduction,language
5234,"All obiects, were they never so full of tears, He [the philosopher] so conceited, that he could distill thence Matter that still fed his ridiculous humour.",materials,quantities,anatomy,mental_faculty__state__entities,alchemy,food,
5237,"giuen vp the Court And weand himselfe from the kings consistory In which his sweet harmonious tongue grew harsh, [Â] now hee's all musicall.",privation,politics,food,music,sounds,anatomy,
5238,[Serpents] at whose horrid sight The Sun may vanish or stand still affright.,animals,nature,appearance,physical_activities,emotions,,
5243,"Even as an idle gazer, that beholds, His Country's wracks and cannot succor bring.",character_traits__nature,sensations,politics,destruction,assistance,,
5246,"Thunder and fearfull lightning at his death, Out cries of horror and extremity.",nature,emotions,death,sounds,,,
5247,"If that I die, yet will it glad my soul, which then shall feed on thoseÂ ElysianÂ joys, that in the sacred Temple of your breast.",death,emotions,religion,food,myth,architecture,anatomy
5249,I at all parts buckl'd in my Fate:,weapons__armor,mystical,,,,,
5250,"In pity of his misery, to dispatch His nighted life",emotions,suffering,privation,darkness,life,,
5253,he could not carry Vnder an euill cause so true a sorrow.,labor,ethics,emotions,,,,
5257,"It is to imitateÂ Jove,Â that from the wounds Of softest clouds, beats up the terriblest sounds.",art,religion,injuries,nature,sounds,emotions,
5259,"Unstate his happiness, and be staged to the show, Against a sworder!",privation,emotions,theatre,weapons__armor,,,
5261,"I should make very forges of my cheeks, That would to cinders burn up modesty, Did I but speak your deeds. ",anatomy,consumption,fire,character_traits__nature,language,sexuality,
5263,our sufferance is a gain to them,social_status,suffering,economics,,,,
5270,"a mellowed experience knows how to teach you,",architecture,mental_faculty__state__entities,education,,,,
5271,"at the reflexion of your courage my cold fearefull blood takes fire, and I begin to emulate your death.",mental_faculty__state__entities,character_traits__nature,temperature,emotions,anatomy,fire,death
5272,the most base fruites of a setled peace!,ethics,architecture,politics,,,,
5273,to build upon his royall care,architecture,politics,feelings,,,,
5275," Who see not that the Valleys of the world, Make euen right with the Mountains, that they grow Greene, and lye warmer; and ever peacefull are, When Clowdes spit fire as Hilles, and burne them bare?",sensations,geography,nature,ethics,temperature,feelings,fire
5278,Cleere streames may flowe euen from a troubled spring.,cleaning,nature,movement,suffering,,,
5279,"How strangely such a coarse, homely salute Shows in the palace, where we greet in fire, Nimble and desperate tongues.",mental_faculty__state__entities,domestic,greetings,politics,fire,feelings,anatomy
5280,"This is the excellent foppery of the world, that, when we are sick in fortune  we make guilty of our disasters the sun, the moon, and the stars",mental_faculty__state__entities,nature,medicine,mystical,judiciary,suffering,astrology
5281,"kingly spirits, And consorts fit to sound forth harmony, Set to the falls of kingdomes",politics,mystical,etiquette,music,destruction,,
5282,"with breast vnstaind, Faith pure, a Virgin wife, try'de to my glory, ",anatomy,cleaning,religion,matrimony,sexuality,recognition,
5284,"A gen'rall weakenesse did surprise my health The very day I married?ÂCastabella. As if my sicknesse were a punishment, That did arrest me for some iniurie I then committed. ",physical_attributes,medicine,matrimony,judiciary,incarceration,,
5285,"if they bid thee not welcome, they are very Loggerheads.",greetings,mental_faculty__state__entities,labor,,,,
5286,"Being  full of her brothers fire, That she imagines I neglect my vow;",familial,fire,mental_faculty__state__entities,privation,language,,
5288,"rotte first, wither in aged shame!",consumption,nature,LIFE'S CYCLE,etiquette,,,
5290,"Thus must we play on both sides, and thus hearten In any ill those men whose good we hate.",games__sports,anatomy,assistance,suffering,emotions,,
5291,"Himselfe and them graduate like woodmongers (Piling a stacke of billets) from the earth, Raising each other into steeples heights;",education,economics,labor,materials,nature,spatial,architecture
5293,"I would he had continued to his country As he began, and not unknit himself The noble knot he made.",preservation,politics,clothes,character_traits__nature,,,
5294,"the Roman state, whose course will on The way it takes, cracking ten thousand curbs Of more strong link asunder than can ever Appear in your impediment. ",politics,spatial,violence,quantities,incarceration,hindrance,
5295,Bursts with like threats,violence,danger__safety,,,,,
5296,"Princes discontents (Being once incenst) are like the flames ofÂ Aetna, Not to be quencht, nor lessend:",politics,feelings,fire,geography,consumption,,
5298,what remains [of the lands] will hardly stop the mouth Of present dues,preservation,economics,hindrance,anatomy,,,
5301," and leaue thy body As dry as the parcht sommer, burnt and scorcht with the canicular starres.",privation,anatomy,nature,fire,astrology,physical_attributes,
5302,"though far from all your aims, Yet worth them all, and all men's endless studies, That in this one thing, all the discipline Of manners, and of manhood is contained;",spatial,mental_faculty__state__entities,economics,time,education,etiquette,men
5303,"The sweetÂ ElysiumÂ pleasure shall enjoy, and walk those fragrant flowery fields at rest, to which nor fairÂ AdonisÂ bower so rare, nor oldÂ AlcinousÂ gardens may compare.",myth,feelings,movement,sensations,nature,accommodation,
5304,"These armes in hope of conquest of your loue, That round themseluesÂ in steele, shall claspe the aire,",anatomy,military,emotions,spatial,weapons__armor,affection,nature
5306,"the spirit Of heavens pure flame flew downe and ravished up Your offerings blaze in that religious instant,",religion,fire,violence,time,,,
5307,The penurie of a prison is like a soft consumption. T'will humble the pride o' your mortalitie;,suffering,incarceration,medicine,social_relations,character_traits__nature,death,
5308,"lock their wives from all men but their men? Make Âem their keepers, to prevent some greater. So oft it happens to the poorÂs relief: Keepers eat venison, when their lords eat beef.",preservation,matrimony,men,social_status,economics,sexuality,food
5309,"[These Scarlet robes,] dismay my valure more Than all the bloudy CassocksÂ SpaineÂ has brought To field against it.",colors,clothes,feelings,character_traits__nature,violence,politics,military
5315,"bids vs, Make our selves drunke, with the remaining blood Of fiue and thirty wounds receiud in fight,",commands,food,anatomy,quantities,injuries,violence,
5320,"sacrifize them [the papers, letters] to the God of fire;",violence,language,religion,fire,,,
5322,murder and blood [lust] Are the two pillars of a Statesman's good.,violence,anatomy,sexuality,architecture,politics,,
5324,"Dower'd with our curse, and stranger'd with our oath,",economics,language,matrimony,social_relations,,,
5329,She is herself a dowry.,women,matrimony,economics,,,,
5330,with wall-ey'd Ielousie kept me from hope Of any waxen wings to flye to pleasure.,architecture,anatomy,emotions,hindrance,animals,sexuality,
5333,Heauen spares his rod so long?,religion,privation,weapons__armor,time,,,
5335,"we'll wear out, In a wall'd prison, packs and sects of great ones, That ebb and flow by the moon.",consumption,incarceration,social_status,nature,astrology,,
5339,"I'll grace thee with that robbery, your stol'n name Coriolanus in Corioli [the city]?",etiquette,economics,language,urban,,,
5340,Our duties did his welcome pay.,devotion,etiquette,economics,,,,
5343,What [the wine] hath quench'd them hath given me fire.,food,consumption,fire,,,,
5345,"[for your life] Lachesis still draws it, Dipping her twisting fingers in a boule Defil'd, and croun'd with virtues forced soule.",life,myth,clothes,cleaning,anatomy,politics,ethics
5348,"that I had him, With six Aufidiuses, or more, his tribe, To use my lawful sword!",quantities,military,politics,judiciary,weapons__armor,,
5350,We must still seeme to flie what we most seeke And hide our selves from that we fain would find us,appearance,danger__safety,discovering,concealment,,,
5354,"may the sins o'the poore people be so few, that you sha'not be able to spare so much out o'your gettings, as will pay for the hyre of a lame staru'd hackney to ride to an execution, But go a foote to the gallowes, and be hang'd.",religion,economics,quantities,equestrian,movement,death,violence
5356,"their Court forme, it is too crestfalne",politics,appearance,feelings,,,,
5359,"Kings are compared to Gods, and should be like them, Full in all right, in nought superfluous;",politics,religion,ethics,quantities,,,
5360,"The devil is witness with me when I sealed it And cauterized this conscience now scarred up To banish out faith, hope and charity",religion,sensations,fire,ethics,medicine,politics,emotions
5362,"I must suit my tongue to his desires, What colour soever they be",etiquette,anatomy,emotions,colors,,,
5363,"To cast up rampiers to you in the sea, And striue to stop the waues that runne before you,",privation,architecture,nature,labor,hindrance,,
5364,Must I with base tongue give my noble heart A lie that it must bear?,character_traits__nature,anatomy,language,labor,,,
5366,How go things at court? --In silk and silver,etiquette,politics,clothes,economics,,,
5368,"We be no windfals my Lord; ye must gather us with the ladder of matrimony, or we'l hang till we be rotten.",nature,labor,adhesion,matrimony,consumption,,
5370,where was done The cruelest murder that ere fled the Sun.,ethics,violence,danger__safety,nature,,,
5371,"good men still have least, That twixt themselves and God might rise their rest.",ethics,economics,spatial,religion,feelings,,
5372,A little water clears us of this deed [murder]:,quantities,cleaning,judiciary,violence,,,
5374,"I see we of one minde, you cleaue so close together",sensations,quantities,mental_faculty__state__entities,adhesion,spatial,,
5375,Shall any broken Quacksaluers Bastard oppose him to me in my Nuptials,medicine,deception,resistance,matrimony,,,
5378,"rent your wretched hair, Drown blubbered cheeks in seas of saltest tears.",violence,suffering,anatomy,emotions,nature,,
5379,all that I crave Is but chast life or an vntainted graue.,emotions,sexuality,life,cleaning,death,,
5380,my soul disolves.,religion,consumption,,,,,
5382,shall my ever-daring thoughts contend To mar what they have brought to happy end,time,character_traits__nature,mental_faculty__state__entities,labor,destruction,emotions,
5384,I wrought a bitter pill that quickly choked him.,labor,food,medicine,violence,,,
5385,"wert you a horse, you wouldst be seized by the leopard: wert you a leopard, you wert germane to the lion and the spots of your kindred were jurors on your life",equestrian,hunting__fishing,animals,familial,cleaning,judiciary,life
5387,"He that parts us shall bring a brand from heaven, And fire us hence like foxes. ",privation,violence,religion,fire,animals,,
5389,The world descends into such base-born evils That forty angels [money] can make fourscore devils.,nature,spatial,reproduction,ethics,economics,quantities,religion
5390,"The fresh streams ran by her, and murmur'd her moans;",nature,movement,spatial,sounds,emotions,,
5391,go! lest I let forth your half-pint of blood;,commands,violence,quantities,food,anatomy,,
5394,"this [danger] makes me lose my houres At home withÂ Lucrece [wife],Â ",danger__safety,privation,time,domestic,matrimony,,
5395,"with that same look, that greatÂ AtridesÂ stood, At cruel altar stained with Daughters blood, whenÂ PompeyÂ fled ",facial_expressions,myth,violence,cleaning,familial,anatomy,danger__safety
5396,"Let heaven and men and devils, let them all, All, all, cry shame against me, yet I'll speak.",religion,men,sounds,etiquette,language,,
5398,"never was my soul better contented, Than that our woes are with rich hopes prevented.",religion,feelings,emotions,economics,hindrance,,
5401,great affaires will not be forg'd But upon Anuills that are linde with wooll;,politics,labor,clothes,,,,
5402,"My hopes cast down, mine Honors overthrown",emotions,spatial,social_status,destruction,,,
5403,Keep in your bosom: yet remain assured That he's a made-up villain.,preservation,anatomy,mental_faculty__state__entities,ethics,,,
5405,"ThereÂs but a plank on which I run to hell, Yet wereÂt thrice narrower I should venture on.",architecture,movement,religion,quantities,spatial,danger__safety,
5406,When stars wear locks they threaten great menÂÂs heads.,astrology,clothes,danger__safety,social_status,anatomy,,
5410,"Oaths are necessary for nothing, They pass out of a man's mouth, like smoke through a chimney, that files all the way it goes.",language,privation,spatial,anatomy,men,fire,cleaning
5412,"My wrath was flaming,",emotions,fire,,,,,
5413,"that for their [subjects'] tongues to be silent, and not confess so much, were a kind of ingrateful injury; ",politics,anatomy,sounds,language,recognition,injuries,
5416,"AgainÂ PorsennaÂ brings inÂ Tarquins'Â names, andÂ RomeÂ again doth smoke with furious flames.",historical,language,politics,fire,emotions,,
5417,"may now our fortune Not ballance her broad breast twixt two light wings, ",mystical,physical_activities,anatomy,spatial,weight,animals,
5419,"of thy [Romulus] lofty spires, TarquinÂ [king] shal pearch, [Â], His high built airy shall be drownd in blood,",historical,spatial,architecture,politics,animals,violence,anatomy
5420,"that the slave had forty thousand lives! One is too poor, too weak for my revenge.",social_status,quantities,life,privation,violence,,
5422,"this Rogue was son and heir to??Antony Nowe, Now,??and??Blind Moon.??",etiquette,familial,deformities__disabilities,astrology,,,
5423,"the most sovereign prescription in Galen is but empiricutic, and, to this preservative, of no better report than a horse-drench.",politics,medicine,preservation,language,equestrian,,
5424,"my calme raigne, (which hetherto has held A cleare and cheerefull skie aboue the heads Of my deare subiects) should so sodainely Be ouercast with clowdes of fire, and thunder;",politics,emotions,nature,spatial,anatomy,fire,
5426,Thinke every honor that doth grace your sword Trebbles my loue:,mental_faculty__state__entities,recognition,weapons__armor,quantities,emotions,,
5428,She staines the ripest Virgins of the age.,cleaning,architecture,sexuality,time,,,
5430,"How slow your love that made no greater speed,  burning love can fly",speed,emotions,fire,animals,,,
5433,"you were my conqueror; and that My sword, made weak by my affection, would Obey it on all cause.",military,weapons__armor,physical_attributes,affection,commands,,
5438,"The bubbling wounds, do murmure for reuenge:",nature,injuries,sounds,violence,,,
5444,"myne honor, as it shall Make good the place my deedes have purchased With daunger, in the loue, and harts of all,",recognition,social_status,physical_activities,economics,danger__safety,emotions,anatomy
5446,"upbraid me not, for if that Lamp burn dim, Which should give light to men in darkest night;",etiquette,fire,light,darkness,,,
5451,Never did poor steward wear a truer grief For his undone lord than mine eyes for you.,social_status,clothes,emotions,destruction,anatomy,,
5453,"to reconcile and knit, In one desire so many wills disioynde,",social_relations,clothes,quantities,emotions,mental_faculty__state__entities,,
5459,the people Will gladly imbrace our fortunes,politics,feelings,affection,mystical,,,
5462,"The prayers of priests nor times of sacrifice, Embarkments all of fury, shall lift up Their rotten privilege and custom 'gainst My hate",religion,time,nautical,emotions,physical_activities,consumption,social_relations
5463,"That is the way to lay the city flat; To bring the roof to the foundation, And bury all, which yet distinctly ranges, In heaps and piles of ruin.",urban,violence,social_relations,architecture,death,destruction,
5466,taking a delight in the cleanenesse of my conuersation; ,feelings,cleaning,religion,,,,
5467,What is there in three dice to make a man draw thrice three thousand acres into the compasse of a round little table,quantities,games__sports,geography,spatial,size,,
5472,in their safeties ruin me and mine In everlasting rage of their detraction.,danger__safety,destruction,time,emotions,recognition,,
5474,easie to be trapt In a more cunning net.,incarceration,deception,hunting__fishing,,,,
5477,"No way excuse his soils, when we do bear So great weight in his lightness.",judiciary,cleaning,labor,weight,joviality,,
5479,"oh my hart Would faine leape after him,",anatomy,feelings,physical_activities,,,,
5481,[if you die] Consume me Fire with your devouring flames,death,consumption,food,fire,,,
5483,"not so long as Noah's flood, yet long enough to have drowned up the livings of three Knights",time,religion,nature,violence,economics,social_status,quantities
5491,He is ill school'd In bolted language; meal and bran together He throws without distinction. ,education,mental_faculty__state__entities,language,architecture,consumption,,
5492,"because the greatness of it [disease] notes A heat mere fleshly, and of bloods ranck fire, Goats are of all beasts subiect'st to it most.",character_traits__nature,medicine,temperature,anatomy,fire,animals,
5495,the fire i' the flint Shows not till it be struck; ,fire,materials,appearance,labor,,,
5496,shall disgrace await my hapless Hearse?,etiquette,social_relations,death,,,,
5497,"And in my reason dwels the prouidence, To adde to life as much of happinesse.",mental_faculty__state__entities,accommodation,religion,life,emotions,quantities,
5498,"any man doth love, affecting wives, maids, widows, any women: For neither Flies love milk, although they drown In greedy search thereof; ",emotions,matrimony,women,animals,food,violence,economics
5499,"I threat not angels, ",danger__safety,religion,,,,,
5500,"What danger or what wrong can be, Where harmless gravity and virtue sits",danger__safety,ethics,social_relations,physical_activities,,,
5501,Melt Egypt into Nile! and kindly creatures Turn all to serpents!,consumption,politics,nature,character_traits__nature,animals,,
5502,"At land, indeed, Thou dost o'er-count me of my father's house: But, since the cuckoo builds not for himself, Remain in't as you mayst.",quantities,geography,familial,domestic,animals,architecture,preservation
5503,cussen beggery: ,deception,economics,,,,,
5505,"Had not such mists before their understanding, Thus to behave themselves.",nature,mental_faculty__state__entities,etiquette,,,,
5510,"please portly Ladies With a good carriage, tell them idle Tales, To make their Physicke worke; ",feelings,women,economics,language,medicine,,
5512,"How light and portable my pain seems now, When that which makes me bend makes the king bow,",weight,labor,suffering,social_relations,politics,,
5514,[fame tell the suffering men] that a thunder Of all their sighes together,recognition,language,women,suffering,nature,sounds,
5516,"[body] The ground-work, and rais'd frame of woe and frailtie",anatomy,labor,architecture,emotions,character_traits__nature,,
5518,"at one word to discharge my conscience, Were there a Cannon there to be dischardged upon this fruitful womb, the nurse of Children,",language,military,ethics,weapons__armor,anatomy,food,LIFE'S CYCLE
5521,"[Nature] Giues that which wee call merit to a man,  arriue him on huge riches, Honour, and happinesse, that effects his ruine; ",nature,language,character_traits__nature,economics,recognition,emotions,destruction
5523,Be not lost So poorly in your thoughts.,spatial,suffering,mental_faculty__state__entities,,,,
5524,onely may my eares Be deafe to your [wife's ghost] exclaimes.,anatomy,deformities__disabilities,matrimony,mystical,language,,
5526,"Let death go raging through your armed ranks, and load himself with heaps of murdered men",death,emotions,violence,military,labor,,
5528,you art twice her love.,quantities,emotions,,,,,
5529,"A worke shall now be done, Which, while learndÂ AtlasÂ shall with starres be crownd, While th' Ocean walkes in stormes his wauy round,",labor,education,myth,astrology,politics,nature,movement
5531,"I am at the worst of euils, a thing so miserably wretched, that every thing, the last of humane comforts, has left me",suffering,nature,humanity,feelings,privation,,
5532,"you wall, That girdles in those wolves, dive in the earth, And fence not Athens! ",architecture,spatial,animals,destruction,nature,military,politics
5538,"our plots be frost-bit, in the flowre.",deception,temperature,violence,nature,,,
5539,IÂll play the flounder: keep me to my tide. And so will I: this is the flowing side.,theatre,animals,preservation,nature,movement,politics,
5541,"the whispered ones [news abroad], for they are yet but ear-kissing arguments?",sounds,language,geography,anatomy,affection,,
5544,We could have wished his burden not so sore.,emotions,labor,injuries,,,,
5548,"his heat of life, Sanke from his face, as one that stood benumbde, All mazde, t'effect impossibilities,",temperature,life,consumption,anatomy,sensations,mental_faculty__state__entities,
5552,pale wan fear doth cease my fainting heart,medicine,consumption,emotions,hindrance,anatomy,,
5563,"The kingdom, and not under, suits our blood.",politics,spatial,etiquette,anatomy,,,
5566,"[Daughter] Be still myÂ Argus [ship],",familial,feelings,myth,nature,,,
5568,Triple-turn'd whore! It is you Hast sold me to this novice; ,quantities,sexuality,economics,social_status,,,
5569,my hand shall neuer be staind with such base bloud:,anatomy,time,cleaning,,,,
5570,"Sing [Syren], (that is, write) and then take from mine eyes The mists that hide the most inscrutable Pandar That ever lapt up an adulterous vomit:",music,myth,language,anatomy,nature,sexuality,physical_activities
5571,"those wide wondredÂ Pyramids, Whose towering tops do seem to threat the sky, ",mental_faculty__state__entities,architecture,spatial,danger__safety,nature,,
5573,The jewels you have had from me to deliver to Desdemona would half have corrupted a votarist:,economics,destruction,religion,,,,
5577,"Who painted my fair face with these foulÂ spots, You see them in my soul deformed blots",art,anatomy,ethics,sensations,religion,deformities__disabilities,cleaning
5581,[Gold] you bright defiler Of Hymen's purest bed! you valiant Mars!,economics,light,sexuality,myth,cleaning,matrimony,character_traits__nature
5584,I would have given a million [coins] to have heard His scoffs retorted,quantities,economics,sensations,derision__offense___contempt,language,,
5585,"Displeasure of a great god, flying thyselfe Through all this Kingdome, sow what ever euills Proud flesh is taking of, amongst these Rebels",feelings,religion,politics,architecture,ethics,anatomy,social_unrest
5586,"the base o' the mount Is rank'd with all deserts, all kind of natures, That labour on the bosom of this sphere To propagate their states: ",nature,social_relations,character_traits__nature,labor,anatomy,reproduction,economics
5590,"all earth Bears not so cursed, and so damned a birth.",nature,labor,religion,reproduction,,,
5591,vtter plainly what I thinke of you? Why this swims quite against the streame of greatnesse:,language,mental_faculty__state__entities,physical_activities,resistance,nature,character_traits__nature,
5592,OrÂ PhoebusÂ chase away her Melancholy.,darkness,women,myth,danger__safety,emotions,,
5594,"Idleness rusts us, since no virtuous labour Ends ought rewarded",character_traits__nature,consumption,ethics,labor,economics,,
5596,"Our means secure us, and our mere defects Prove our commodities. ",economics,feelings,character_traits__nature,,,,
5599,with my sword I'll prove the lie thou speak'st.,weapons__armor,judiciary,language,,,,
5600,Thy dowry shall be sold to giue new life Vnto those pleasures ,matrimony,economics,life,games__sports,,,
5601,"[the genius] whispering to our intellect what fate Hangs like a falling tower upon his state,",mystical,language,mental_faculty__state__entities,destruction,architecture,character_traits__nature,
5605,"Let us revenge this with our pikes, ere we become rakes",violence,weapons__armor,architecture,,,,
5609,"Is this the licence which our city,Â Rome, Hath given to beastlyÂ Bards,Â and satyrists, Ribbaldly Rimesters, and malicious curs, To leave no state of Church, nor seculer, Free from their ordure, and polution.",politics,animals,art,religion,ethics,cleaning,social_relations
5610,"the abused Duke's afire,",deception,politics,fire,,,,
5611,Doe you thinke that Nature has no feeling?,mental_faculty__state__entities,nature,feelings,,,,
5613,"The Solderie ingag'd to vent their bloud,",military,consumption,anatomy,,,,
5617,and those that suffer Beneath the chariot of the Snowy Beare: And ,suffering,spatial,astrology,nature,animals,,
5618,these poore soules consum'd with tedious toile,religion,consumption,labor,,,,
5620,"No more faint-hearted Gyrles shall dreame of harmes,",physical_attributes,anatomy,women,mental_faculty__state__entities,suffering,,
5621,I feel a whirlwind in me Ready to tear the frame of my mortality.,feelings,nature,spatial,violence,anatomy,life,
5623,if only for your lust A little covered with a vail of shame),sexuality,concealment,clothes,etiquette,,,
5626,"I will betray Tawny-finn'd fishes; my bended hook shall pierce Their slimy jaws; and, as I draw them up, I'll think them every one an Antony, And say 'Ah, ha! you're caught.'",deception,animals,hunting__fishing,violence,anatomy,mental_faculty__state__entities,
5632,As full as Jealousie: or the wife ofÂ Jason Rob'd by the faire Corinthian of her loue.,emotions,matrimony,myth,economics,,,
5633,What said advancement to you? Thus it said: The daughterÂÂs fall lifts up the motherÂÂs head.,social_relations,language,familial,physical_activities,spatial,anatomy,
5635,Til this black minut without staine or blemish,colors,time,cleaning,,,,
5636,"With hideous roars he [the Ox] laid out such a throat As made the secret lurkings of the god To answer echo-like, in threatning sounds",sounds,animals,anatomy,concealment,religion,danger__safety,
5637,"yet amidst your grateful melody I hear a hoarse, and heavy doleful voice, Of my dear country crying, that to day my glorious triumphs work her own decay.",recognition,music,sounds,suffering,politics,military,destruction
5639,"We will (as now in priuate) sift your actions, And poure more then you thinke into the sieve,",social_relations,food,physical_activities,quantities,mental_faculty__state__entities,,
5642,"Unshout the noise that banish'd Marcius, Repeal him with the welcome of his mother;",sounds,politics,judiciary,greetings,familial,,
5643,"Languishing windes, and murmuring falls of waters, Sadnesse of heart [all the friends of rest]",consumption,nature,sounds,emotions,anatomy,social_relations,sleep
5644,"Who ever sues to me commits a sin, Besieges me, and who shall marry me:",courting,religion,military,matrimony,,,
5645,The laboring worm shall weave theÂ AfricanÂ twist,labor,animals,ethnicity__nationality,anatomy,,,
5646,"But great Rulers are like Carpenters that wear their Rules at their backs still: and therefore to make good your True good in him, you had better suppose him little, or mean.",politics,labor,clothes,size,anatomy,ethics,mental_faculty__state__entities
